transmission_fluid_temperature,shift_time,transmission_line_pressure,gear_position,date
115.9497247603873,0.5915581195295916,148.72528829711388,10,2023-06-07
117.22189996439772,1.126414471181218,133.51765952611092,9,2023-10-10
84.47918209750534,0.6544750836774615,126.43739774649696,4,2023-05-06
88.67496672574052,0.8807070884076981,235.23189156809212,4,2023-02-18
95.37304970376877,1.2359106402208015,129.8694350744421,10,2023-01-30
114.68384906279678,1.1065374214453336,242.84802827044635,4,2023-08-12
84.8767406104386,1.3729022510747106,206.6923982535863,7,2023-07-20
93.7804430244259,1.1808910319646189,96.32169935979447,9,2023-06-02
108.0517671367027,1.4397010934900885,118.44579665384983,10,2023-09-23
108.92442761601386,0.7151146840276095,79.56863633022017,6,2023-08-13
94.25633894420412,0.541266255013454,81.2412692798512,5,2023-06-08
118.52703649799187,0.579256241802043,160.92684790127055,5,2023-05-15
94.09869868238151,0.7035260986813533,105.53848074262828,9,2023-03-22
104.5405233899687,0.5529292782540616,239.20876988342224,4,2023-05-20
104.61481716324465,0.7648816455427907,123.12154962692914,10,2023-02-10
112.01731025951293,1.3529595269780537,59.38631969477828,9,2023-09-19
94.27382861425188,0.7624610299067064,73.73824049954041,8,2023-09-01
96.41226723554871,1.3160650481400484,123.62108891184553,6,2023-07-10
96.7281647036414,0.8196923130692195,155.26655849472573,10,2023-12-01
82.3482652850165,0.9376705830823665,55.266983611889756,4,2023-09-25
109.30588496638698,1.3526015264777627,119.03040961403129,8,2023-07-21
110.74585368553731,0.9926237248352809,197.90709810764272,8,2023-06-14
112.8248847599811,0.622921607640151,70.3800925307861,10,2023-10-02
108.57517035662087,0.8598385977596752,72.56411951570676,4,2023-06-12
103.70130642047933,1.3138269559227462,112.99864352189148,6,2023-06-27
102.5699292882369,0.5708394972752527,70.34973351138481,9,2023-07-14
105.74806441290986,1.238539625184338,126.35443073121932,6,2023-02-06
80.32252088972206,1.2373024631608485,194.00475372943941,10,2023-02-03
97.91582879826697,0.944419914354662,246.63094127410525,4,2023-02-07
81.58851816707806,0.5202716350696346,59.058063893292825,6,2023-06-08
99.53497182204998,0.7443355448808627,165.64787257272584,8,2023-07-11
85.949367998906,0.7742791613707254,95.07364195530985,4,2023-04-08
80.37327251545398,1.262588516031232,138.60678219659638,10,2023-10-31
109.21862671642224,1.037686588946346,248.76520938924972,10,2023-11-10
108.18163354402924,0.8355400353503075,248.6447005371574,9,2023-02-26
95.46780240112183,1.1159892129701263,171.38924898795185,8,2023-04-06
82.61887239686678,0.6049265710640092,83.20866759921144,6,2023-11-01
118.99701214720824,1.4956169225026128,150.0798229919068,9,2023-04-11
86.03303199969827,0.5764994386944395,217.2169006507072,4,2023-05-05
99.53281001460329,1.3232948248627125,164.69993882116887,7,2023-12-16
90.88302143459306,0.941633271326357,193.52395621010163,7,2023-04-05
85.29421809259762,1.3876274606430208,204.23270008832938,8,2023-09-26
100.5113983941262,0.6988401775510708,141.08491566000015,5,2023-11-30
87.83603143544799,1.0507984221067246,184.0443882468677,9,2023-09-18
94.43138221466498,1.0942062185856636,74.92644723248843,6,2023-01-30
104.26007288931666,0.9649699954941354,126.52139074114626,8,2023-07-25
95.47347496675093,0.780481325213088,151.98266521078475,9,2023-12-15
100.77798014630797,1.3102531010559586,195.53640778218355,4,2023-04-28
89.28035644003343,0.706742838815939,142.73642018706627,8,2023-09-23
107.84016238998937,0.7614191534056771,241.62516408799476,8,2023-03-24
105.38189298757607,0.9125618870389502,106.89471318754951,5,2023-11-22
107.71854559526881,1.3304621140324635,85.65001003856435,8,2023-10-29
93.59032200865579,0.5080810329886233,89.66904814476587,5,2023-09-09
117.6191980031364,1.3942011348091967,124.16705868812544,10,2023-03-08
104.96141713387166,1.044407570781581,156.21520664677558,9,2023-09-26
85.08894091437529,0.5946699475684534,112.46552918636374,9,2023-02-03
119.00279353991978,0.7226357375574077,223.4852563410143,9,2023-03-02
