Climate_condition,Road_Condition,Driving_Condition,Engine_RPM,Engine_Temperature,Fuel_Consumption_Rate,Engine_Load,Transmission_Fluid_Temperature,Shift_Time,Transmission_Line_Pressure,Brake_Pad_Wear,Brake_Rotor_Wear,Brake_Fluid_Level,Battery_Voltage,State_of_Charge,Battery_Current,Coolant_Temperature,Coolant_Flow_Rate,Radiator_Pressure,Fuel_Pressure,Fuel_Flow_Rate,Fuel_Injector_Pulse_Width,Maintenance_Type,Scheduled_Maintenance_Interval_km
Cold,Paved,Urban,1401.8263016216015,0.0,44.7102986218208,10.689101571054579,84.38199633577676,1.2411806851104887,154.18739190726578,85.12604568299321,73.6792882537969,105.37742530075705,11.650613812475179,87.07141849953649,8.906299568312237,91.35796047328542,4.143243883701957,16.051672166378815,72.95919588594076,12.65064750018533,3.081305119893395,Replacement,8966.261589736376
Hot,Rough,Highway,3520.160215720042,901.5273041178137,8.958715383567695,13.374760844227549,105.01893316578878,0.17621981236276565,186.1474125862092,103.65132240424427,57.18706984651993,103.1490021233828,11.735762296052076,72.1233537418524,5.978276608351494,117.27668739924951,3.8860635229871368,15.868877054663443,81.3603953210523,8.085985206992088,2.3830558739048575,Repair,11182.881566426355
Moderate,Rough,Highway,5622.409479002773,0.0,93.60890120562833,10.246221106775177,69.35457218219766,1.5257708487896704,157.0590076372883,55.441466424172916,52.92556731231193,109.02638447591063,12.104570681250236,88.02431076951429,-4.1727409920870375,87.02647592056728,4.4607282961908465,13.617991578771619,75.89424931035497,10.31178274351658,3.4512157099957617,Inspection,8680.177895503843
Hot,Paved,Urban,1251.3535856615556,862.9727132716089,1.436245496401678,14.870839876221204,86.82927520880897,1.32725137631437,124.051802669468,52.77015753968466,98.38487525570352,107.58415769364126,11.470366577928566,16.423157970292092,-6.743313739334697,86.66614340178374,5.344102457935002,19.187696991421774,72.57460437093702,11.268766678164628,2.91900873230502,Inspection,10126.054630557494
Moderate,Paved,Urban,2307.3524190739945,0.0,3.9110651427458065,5.060593498813828,74.01381775001003,0.6320038392126751,172.9525617722892,43.8499677863199,41.20501840573723,104.56046483357592,12.1764431224605,94.75331591513617,7.866135340140781,83.7227627106833,7.375656390133462,17.032398150939663,74.92355051190451,11.472123989242569,2.340608377889639,Inspection,9647.602020113185
Moderate,Paved,Highway,5013.058196552543,0.0,64.08534375198178,9.366027915621984,76.65553912382653,1.414005994150242,124.4371598996618,39.97939527866892,73.64022706462023,102.29312413127734,11.543986747245045,95.4423257179867,-4.112395949719759,103.09691285935469,4.498012588052317,18.00280200259379,68.8785317883229,12.31135963512405,2.770418360512612,Inspection,11015.747706944276
Cold,Paved,Urban,1027.4580609275806,0.0,5.531393287786535,12.434812372061742,74.21251865776026,1.4138530009557713,124.57270115402318,85.46609240637538,87.73156014901679,93.65394285279505,11.799533675362387,71.51576689081416,-4.729410716944304,76.12853445933028,6.662130137578154,14.560699183923884,85.19134794437821,10.938611413589319,2.861337549447984,Repair,10291.896045350206
Moderate,Rough,Urban,2644.8949186758005,0.0,18.480794539531953,8.186241512864637,68.79832846696792,1.5030391007998398,131.86890339602962,104.25580646508497,28.609955759838748,102.85481498430555,12.762697027594324,37.63818129883012,2.141524624100507,92.94174366736306,5.924838052003594,14.70084265597751,74.37975689106108,10.907390767421354,3.190852391322332,Replacement,9798.69200937465
Cold,Paved,Highway,3661.748168630264,0.0,88.62730980121844,11.986120503590865,48.116662120428046,0.8037779634679783,154.60886746383161,16.980775334022546,6.2970581647934125,105.51913975297755,11.946675075108892,24.972560102461006,-4.19328923700558,92.98845300896073,6.231242868840759,13.777574361313457,68.63057087360545,11.849809181292494,2.598312995598117,Replacement,10975.842538971761
Hot,Rough,Urban,1720.2690603244366,796.501260459953,72.97573898139049,10.029220979132276,92.3741974932937,1.4239010575818487,137.2019804432241,47.350270138970245,19.55974622478869,102.00265371367371,11.767587621189909,40.56300019947353,7.634910162430375,104.37982227931886,3.549432850728162,15.860168210255713,79.03462879837663,8.747901771777363,2.5110202348826323,Inspection,9529.436497578512
Cold,Rough,Urban,4072.5333878539896,0.0,31.52294225503126,12.611594617671976,58.99948905476647,1.8247774939163268,157.9593693896826,68.35766718436619,80.95247088283938,98.99496172390394,11.545703513419225,96.70065055892816,5.426792312456925,93.78685988753377,5.235091905815444,15.076736775141573,79.80273460417996,12.627568822887895,3.427248235033289,Replacement,9796.481837304365
Cold,Paved,Highway,675.0195489907516,0.0,43.63508231512839,12.923515572652828,89.267423417303,1.2306559814220581,136.21303702800472,30.317230541524122,61.76808430731738,105.34265427718718,11.57071555295729,59.495227874759294,-7.404197401092995,100.87339271851172,5.333740196475929,15.35705078058348,77.21275333583027,9.500620655243804,3.6032705393751674,Replacement,10746.88619093328
Cold,Paved,Urban,5757.08255233362,0.0,14.546226627565295,11.659372649201941,82.75897102007119,1.9502144510389037,191.4460564096908,99.71858159721151,74.24785622986111,99.5137735466551,11.524553715779744,69.72379638083842,8.83791407728369,77.69301111729217,5.2732869157665085,10.073663639405538,70.82377140045728,8.152486086977355,3.0335451910071454,Replacement,9502.806192218653
Hot,Paved,Highway,2950.870767230692,956.7170621201905,15.630210244669819,6.376628671124966,106.68676346164247,1.0640364046401665,146.37114110391818,97.37910167341374,15.692866227896484,114.12734225304801,11.981100868117474,66.51341475540671,12.35616280016669,100.90042655159694,4.853190592607319,14.33603703732306,76.33970466861939,11.762590702130618,3.2811474312670583,Repair,9098.608409802333
Cold,Rough,Urban,1990.8234662959776,0.0,30.443080918813138,8.472717328418195,93.80441500514122,0.27173231478838755,161.00361737410333,51.28420567238279,92.33600418502773,104.26133056471681,12.153914947364557,74.42718324991185,4.213213683885435,91.35620015732351,3.4205557210438213,14.171762992498486,77.50592321943518,10.16563028887843,2.5622246333570162,Replacement,9143.251847521125
Cold,Rough,Urban,1111.6308967935213,0.0,7.187424675953014,10.735136652080868,82.3683754243495,1.042481125743137,119.05121749833975,18.47363165768349,107.38486738553415,102.7803814314045,12.391658282952596,85.135045736686,-1.248099885892349,68.80177351298991,5.298723147440042,15.780616616433127,75.92760827930404,10.806426778356938,2.06365068377367,Replacement,9561.549530431894
Hot,Rough,Highway,5447.640736376751,1072.3229372871901,35.905655548346985,13.49901951272465,72.31545469248006,1.4511248239564398,162.029646158433,48.34769334146427,33.60987606660417,96.10836954939718,12.233298987780321,19.714779974958685,-8.179684891866767,95.47546776861064,4.10914320924168,17.404803145887872,78.08245797423352,9.680483253486875,3.429187224641696,Replacement,8278.480020269959
Moderate,Paved,Highway,2993.869657390321,0.0,98.99872715311773,7.555056016975534,45.925473386001045,0.11697519930922341,139.45641206089104,96.53429000389734,88.24192036107449,89.37448245854988,12.244482854632531,26.63895002911193,4.453023380544224,89.80550677382473,4.156675944527597,13.415640197115863,78.40043019687901,8.833009873591811,3.81327258896938,Repair,9523.573360698747
Cold,Rough,Urban,1023.9694650898687,0.0,20.630445703704915,13.631407381533164,77.52588332946982,1.2411063554542385,115.40842243948065,29.763772358673947,95.67580186222663,90.52971952834386,11.742713788935749,93.2691334812471,-3.0063974706624865,91.01083949273146,4.021451710390126,19.366822026189283,78.27446440004125,10.730407266169635,3.0506948916301813,Replacement,9202.11079059126
Hot,Paved,Highway,2014.82451396308,987.3048176366616,9.18612015308511,8.804194398882908,109.1845249553156,1.606044721044367,173.07525401950824,19.479407388350147,55.534282576092984,99.88587950293689,12.023984142458058,44.27353495766306,-3.8709165512412174,91.61082518188154,5.177937614936152,13.850572869633858,78.16736730003707,12.47129048454342,2.888303641754723,Replacement,9837.103313205631
Moderate,Rough,Urban,2551.020538750268,0.0,72.22109356377815,15.194271409760368,72.56021056743772,1.8744111266164682,165.87896164199657,44.769476775728236,13.43273029600255,100.94286330481789,12.212009847992357,12.414376679142226,0.28135156145065704,95.50679709377229,5.398504552598442,12.752419089955342,70.28677982697761,10.531287086536732,3.9420401144936736,Inspection,9815.905321352428
Cold,Rough,Urban,4793.5902121687495,0.0,53.48607168865204,14.295056328422724,71.84243060495778,1.9996727569988733,166.47247460839213,93.30388637259003,26.77763205136984,102.7137199070571,12.074738430249345,48.07067894782675,-8.442151419467463,98.38493777675481,6.070824222653489,13.723071848025995,80.85286956925093,9.77541407845299,2.397571531078769,Repair,9798.24088406352
Cold,Rough,Highway,4229.025234551613,0.0,94.57702477782152,12.985973410972925,102.30205013855168,0.7103358924528299,142.0692015747305,64.45927797141499,18.29450871211357,98.54769321141265,11.61477497606188,75.30692978590771,-4.3808604310928025,94.66871444070702,5.043788721529119,19.979823529515638,71.48222753822877,6.93554194372614,3.264105108655016,Replacement,8546.370022105953
Moderate,Paved,Urban,4624.2527745073385,0.0,88.33913694636448,9.589785035627214,103.04659022789208,0.989574666804864,160.13197496421736,63.97078365169659,57.13737002139925,94.28060365046022,12.617593173443058,63.46774261401242,-4.028440438610057,90.84680347101549,6.272213412691157,15.587690083383078,69.39619874758236,9.811077381126886,2.9691530789617215,Inspection,10490.791836512195
Hot,Rough,Highway,5224.255119181558,885.9408328801658,35.22846001075636,11.980069953410382,54.09000936352681,1.5705489787583806,165.04605998596128,34.85790043230127,17.651970119392324,96.04229536131535,11.210049951683981,23.17128093240479,5.009853582769308,102.09276491794984,5.7589519269915925,17.2565417784311,88.21113531330445,12.381463065047198,3.7405941808856973,Inspection,10767.272656381636
Cold,Paved,Highway,4611.118499375423,0.0,45.10288666949618,14.967504491354944,86.091911686631,1.8607209011735408,140.25299092017565,79.16011404218374,4.574664968821962,98.62441853278679,12.258555582762831,45.26687484680906,-1.6740455927631193,95.39026795962626,3.2380381697973393,15.125963892244888,72.0946724605906,14.310158497815895,2.644413662642944,Replacement,10114.305012907891
Moderate,Rough,Highway,4823.183723560319,0.0,16.567763974181737,11.710501872709147,80.75860072686372,0.9017046490614797,129.76611188093756,54.41455806043163,88.25412978961036,89.0246558273351,12.612932540550892,37.20946370597255,-0.5409763347769336,99.8757539915407,5.15752604516439,14.969954205044457,91.74047770402362,10.538565012532427,3.5780046807027786,Inspection,8372.028635525585
Cold,Rough,Urban,3540.819947237575,0.0,71.34357311242697,7.447556654891766,92.52132225542788,0.6927134539578345,186.08481568924236,39.21527509771627,71.52725454374635,104.8543523904578,12.256195558437978,29.92066209165175,6.324316539598475,99.52182537321073,5.554078557147977,13.239406083517233,75.71529848172318,8.50907044645749,3.3417319330406947,Inspection,9851.621922907763
Cold,Rough,Highway,2103.4704685553265,0.0,73.63060515889285,14.13132439346419,87.01944757132338,0.5069442597361898,122.43478632657022,74.41356750482528,78.58005846067836,107.18747793297072,11.988579827281137,44.69501599936311,3.87902581365289,98.71819022735536,4.080962330313355,13.335066863287325,74.32546616505002,10.892572950407917,3.3675572489844696,Replacement,9715.581073499963
Hot,Paved,Highway,1431.327537346417,892.2503811164364,54.524405756572435,8.687571220239498,88.60792026544213,0.18034318264227758,153.02176536726515,21.425625452085704,99.06707718967306,94.84063778257406,11.370218864592724,61.63850484040483,-1.4590640662455816,97.0776229897132,3.4859476437886325,16.23812574364597,68.77157327085939,12.714055528674939,2.532771542381675,Replacement,10675.725687785156
Moderate,Rough,Urban,4605.257156102799,0.0,32.30307821037118,9.17485096423116,71.03849283557022,1.1018408197612648,138.8765677063499,56.771808819088655,65.24637019524693,92.13825796397009,11.515516939706403,90.02440744073277,-1.6135121882791734,97.93305364382098,2.562937856165037,15.376793394678447,74.97683227989542,12.048949121569688,2.9048142691662537,Repair,10944.55279572389
Cold,Paved,Urban,2169.8222354252125,0.0,19.60497927741054,11.228898312650685,75.89351207274375,0.9236918686164054,101.21061139415407,44.844280087538536,10.44475491932464,92.90633828277579,12.135443257974567,63.436230202266074,3.377836891106678,95.85348401410799,6.270067317776579,13.168958590575913,77.63435427834727,9.593077523346276,2.8973168077146254,Repair,10048.535998958403
Cold,Rough,Urban,934.1905038407592,0.0,51.85542179499995,10.554655758848565,84.85696676807932,1.114316020538232,160.6046477929669,89.26915244002247,42.81259866105452,107.42964825984527,12.223153359648194,93.86543089708303,1.1785955656490015,93.88827335353052,3.984816240584731,15.133029253496876,76.00965060077682,10.49800380696344,3.646689947708577,Repair,10766.733877686369
Hot,Paved,Highway,1575.4721845715756,952.9043766359065,8.30296498702423,9.723110130536645,65.76594918239975,1.142160477549734,162.6226930900575,46.84045341410786,26.861627459153368,88.69625233028671,11.709739859907849,3.589868426421572,-1.7650671180830113,109.2626209438925,5.072812696206457,14.154382527609046,77.77620050338359,10.081543100367838,2.4210765918158237,Repair,10084.97928537285
Cold,Rough,Highway,3150.252503630381,0.0,72.70629917935928,14.556747382614123,90.38820932766923,1.219636102831483,140.582220522994,90.62993338758773,72.14857938618212,93.46889895959039,10.678400431655259,21.128190708702597,8.178256492722856,85.96642070771233,4.838536248627633,16.103859948461402,77.70998812520432,8.64780718588544,3.783455857991151,Inspection,9092.936998584879
Hot,Rough,Highway,6153.568378056274,834.3882098095993,18.74098056863811,14.452172416857007,106.89185357061243,0.4468577291093334,100.89471993162635,39.11465606014457,45.344406448363095,102.91744227701092,12.407964270117793,48.27770406903262,2.1021347560992214,94.07692420065254,3.443733429097085,17.821576113015887,75.40457821589486,11.0883379169027,3.0112690479703024,Repair,10663.291639779743
Moderate,Paved,Highway,4702.92886705789,0.0,55.81799180541379,9.217601997157491,98.51976478542126,0.923118482533367,164.17537002451724,50.430324472576636,5.136241476277325,93.84464901571795,12.232666927615972,83.23158536624524,2.077024565125998,82.18655198042372,3.5476973117072794,15.833648673483387,69.85973673121575,10.731079306868281,2.821904003637061,Replacement,9370.990122031144
Hot,Rough,Highway,4654.49114499586,962.4126441586674,93.03177357893723,16.063868403880996,121.62496806726196,1.1845180964270794,154.1142654267268,50.96707361262466,62.78424269152886,101.02373085805577,12.004022914736666,6.519470396352068,-4.417539471446965,102.80863098371695,3.6899493579884854,15.452513487211915,78.05378731447728,8.587763691803413,2.9393024802386356,Repair,8664.733048236449
Hot,Rough,Highway,2014.2716538524305,829.2872766015142,50.78242775636866,16.072575598071815,108.41765203455469,1.0889768182225386,133.975302115649,105.54535624118489,25.934644993488867,98.01212047333262,11.25714448464563,13.216667517098312,1.7940475356789143,112.18628102097078,4.459985914482251,15.698350377580807,78.66548309690745,7.749538212874228,2.603691681487962,Replacement,11101.88750903554
Cold,Paved,Highway,3488.878926069884,0.0,3.9985295887315253,6.3131078525888356,95.88489159214126,1.0486531282782177,153.2903873749137,49.030778502351666,78.25769761144875,109.3299568371187,12.198243964862,34.059041962105155,-0.3562042679341115,104.58405065909363,5.574035331193841,12.98726483520431,67.06733272201296,10.43541212669086,3.1401438100990773,Replacement,8751.932356133859
Moderate,Rough,Urban,3336.3828860920294,0.0,99.48979758891237,16.98974541280397,42.76415945782979,0.9048499533353727,173.04571090146771,62.252699039474614,99.30349927079536,88.30721414955165,11.610140139466756,96.62708657785606,6.128320413210196,92.59773668210575,7.109724743947968,18.93026538599996,74.74165595437667,12.312517039007886,3.404855220371545,Replacement,10582.653278714855
Hot,Rough,Highway,2211.0872542904153,887.8992909506524,59.86707673921856,8.826087181882563,111.3616706464555,0.1524703707496568,163.8169884026356,94.64614858521851,68.13050056880653,99.85444310860957,11.475008449306864,40.713095540726066,0.32399085871053956,89.59783386937345,3.315741426683184,10.781924890356773,84.44976506233752,7.8439560716913865,3.0334643935807377,Replacement,11098.526584534726
Hot,Paved,Highway,1456.412773250393,885.5914165986638,21.95434397911713,10.478432914245811,46.99795890581647,1.5854633067125352,99.42804201775726,46.83522238151666,25.57609906248607,106.85881462635572,12.746655028470222,10.70322168432789,-6.771884659242726,83.52952399408164,3.9394806151630517,15.442218639854651,64.32847996372068,11.247932091975843,2.6523853560295207,Inspection,9005.084250873746
Hot,Rough,Urban,5916.923570994563,1017.598273474012,44.83397401694346,14.644010101252306,99.31358657685931,0.760406171552943,168.67248222137817,66.62177054188888,98.48996245464909,91.43325777856873,12.5331807333834,41.116431254195426,-0.44554345707611137,106.39820748321726,5.17195608370036,15.375475280482881,69.42032391834744,8.537563753988954,3.185045925567386,Inspection,9508.186030854633
Moderate,Rough,Highway,5952.004810205906,0.0,30.514956885125933,14.55666637519834,97.87486052256281,0.8503316194165651,141.29983703827733,95.3163291907443,52.27672462877518,90.48209823866482,12.27469364853764,64.98292072685378,-3.486892072650154,90.04995150786705,4.648142792195895,14.24996446554896,79.98502397047142,10.665499634847492,2.0589061130607833,Inspection,11328.74161642489
Moderate,Rough,Highway,3380.0854944130615,0.0,22.53290810839771,14.35292868675722,80.96340345856703,0.9938375268966132,139.93322076416027,56.83530861789424,68.13269276249966,102.07005596494848,11.840192817036225,1.8452326764359261,0.5921908321588901,87.11789235757347,3.2328526144543037,12.621131039425945,71.74554784737775,9.200305667437508,3.586102013620064,Replacement,7485.648102316687
Cold,Rough,Highway,1272.3704662980904,0.0,84.92935287431116,7.130091608681578,101.47319737506288,1.9607082774048086,125.98694587905652,104.84890182174108,38.23338869211548,100.98953038277986,13.061167942931156,63.90125622479951,0.7694438943213144,74.77824218668047,5.568523243091325,15.221952919532248,78.73457669265866,6.869859767495535,4.064015228013197,Replacement,10385.092218264916
Cold,Rough,Highway,1205.763618090571,0.0,35.22345153694383,8.241406456058955,90.21995020419436,1.7105359080098241,163.12945083306968,67.78165272129208,98.77899524876334,112.79908649539932,11.4918538945975,54.32700556327915,-0.5073675248533078,92.28483688967306,5.065644781865059,16.149250815739794,67.95018838741123,11.189503305167575,2.5653757536064012,Replacement,10926.458519377582
Moderate,Paved,Highway,4487.954909938851,0.0,74.4217824680742,12.967039641866,95.5601555134438,0.9079976866925331,165.23027629659515,34.209371159817955,36.21754937227617,108.59083955305836,11.578481597315504,75.70263804530832,-0.4033605419972141,88.71666438144115,4.840107437363379,15.149044458409117,68.11204950187195,11.145265251068082,3.716749017547734,Replacement,10353.156209700815
Moderate,Paved,Highway,3332.159792224209,0.0,84.41017997689791,14.998166778224633,101.93348095073067,0.8726936236557677,172.59854508425227,51.07743444340599,23.9573698281487,97.7912466152693,12.09436118616745,1.4741305691628237,0.06524345041888799,89.63124611423316,3.6843716060680176,14.845583761063931,62.34560244128983,9.570613035213308,2.8436691451600775,Replacement,10974.007617191292
Cold,Paved,Urban,2067.5928185154767,0.0,94.10744453581475,12.849282443967267,69.50708632853596,1.1083915985733608,122.23322848429598,43.81420820415806,13.543874540875434,103.676109832016,12.289487552669454,81.76875789902799,2.3287642131037485,76.75854846698289,4.815207988771658,17.350251787585155,70.79930763388091,11.493857145399469,2.9694927999474094,Repair,10270.549897995255
Moderate,Rough,Urban,2128.743181193283,0.0,5.185362001897886,13.923620397898905,100.39102164798345,1.6876087391576449,178.49885347048289,50.499045047445094,82.50921984426131,101.4616060771077,12.68543609163301,60.21384775309496,0.07824828688155369,91.18973350400634,3.6862547346181085,14.43738722797535,87.08639863806268,10.166767994549621,2.5286050273684153,Inspection,10005.675148934251
