battery_voltage,battery_current,state_of_charge,battery_temperature,date
11.393952631991622,-3.4509868729553546,89.25540669465023,16.318555015407902,2023-10-12
11.673909433611872,83.0531459195249,36.16228040384173,35.57577051899464,2023-05-18
11.771996787225879,-57.35564406277172,33.08671975843577,37.57410757502902,2023-06-18
13.326954613158396,40.333008016756196,52.339765673373776,42.291891028901325,2023-06-20
11.220194862668336,17.32317418548635,44.71266219202654,4.020007659953451,2023-06-17
11.117522350165318,-73.7157493571279,59.7503537334238,12.58485110380948,2023-09-13
12.880575442945933,-69.90043389350515,59.5669545069739,47.85023760586641,2023-02-25
12.20107649181622,40.04236427676091,23.58355378440484,0.0229828707191293,2023-02-10
11.917317556877256,-76.40049304734276,69.06081942252953,8.2743288593779,2023-05-15
11.135937765866817,27.684209999870774,15.074586896314324,9.645443267969995,2023-02-17
13.346946314778833,77.5997308978022,33.25370638356874,33.605966736252455,2023-10-06
12.185967697659677,-37.92548895648764,43.34373192218589,19.332223247403242,2023-01-13
12.99723561103994,-52.34571525146228,95.34893892635019,28.846645375449242,2023-05-18
13.51082336868734,7.796302719089539,63.814089435107526,6.062780601887619,2023-08-07
11.28103844463067,85.55506891719946,66.52084797458498,44.42716094286207,2023-05-27
11.34856897591601,-85.1985816272259,35.64641862975435,28.825660242981115,2023-12-23
13.142402037673044,75.38574168416656,35.22683264143518,6.264412123450142,2023-11-24
13.503799335551522,-69.47747298097697,81.44792523058159,17.897169496555637,2023-04-10
11.798677005134893,-16.110928645809423,48.07717967425988,18.79857741422102,2023-04-04
11.525536787402867,64.43134815787357,54.3383925019258,22.484422169033408,2023-04-11
11.454746934709197,12.87624976826109,5.267050847920441,33.431533603268576,2023-02-13
11.320456574705862,-45.111419730881465,94.40747260454478,5.608235609890838,2023-02-12
12.351742954736851,-75.41494400929882,14.363037352571006,40.97195119430355,2023-03-19
12.970034470026183,26.3481183620804,11.245587159451754,9.487901519228565,2023-12-25
11.871459195715063,63.31947018451868,33.285412550058005,10.12283171859773,2023-03-06
13.259969622584558,-4.03824993021324,33.414819912062455,15.742261340803626,2023-04-21
11.90648997115305,38.40478599618692,32.9864980590587,44.29656762802016,2023-03-26
12.884878784564647,12.379678454296013,46.45883234688368,49.802550753109635,2023-11-13
11.678820021656893,43.57250782147156,83.14284223494602,36.51105413240526,2023-01-12
12.328582967960795,83.90793443732011,90.66171149474441,30.48842257559742,2023-01-20
11.324694009378318,-24.865238928574215,47.69931903863424,17.28698730725658,2023-03-17
13.364239279398296,46.24460446778281,22.745087242043095,7.0448148276208045,2023-01-10
11.147265459102545,91.21983133344702,77.84949500071802,32.1660703257482,2023-09-26
11.509072020178513,-55.114147792539846,37.44776012699709,16.98971045891152,2023-11-10
12.56311562901418,84.00008116915316,23.907202153496996,33.86437617938876,2023-07-14
11.663639017928238,-16.700250985409326,81.90633105720812,28.095469480537798,2023-06-15
12.314717570530888,-89.22045630785934,73.43175424789582,5.555431130866295,2023-02-22
11.878984867672106,-55.920377916248064,33.48503814428734,35.58004002154874,2023-02-01
11.617066114080021,77.62408340553156,47.45885718380616,8.577695518745282,2023-06-25
11.823219458674174,10.964826421620359,56.31848226942587,28.279605426992525,2023-02-10
11.269196016941812,83.6855607447005,84.18798944925156,36.65123576030563,2023-04-24
11.087185138378711,7.227280439374411,28.541840138349894,36.60263763742531,2023-04-17
11.960562086870084,-99.27070351892169,24.404105568954915,30.154978215251415,2023-11-22
11.184769580677965,39.04936777161333,90.78454306715355,33.84080792563816,2023-07-12
11.893778499747583,-10.342682336559733,16.164767622249222,15.821608590786285,2023-05-19
13.572007040247643,-84.39585984813947,9.077187132357023,36.802071354783216,2023-02-21
11.134902625433774,-46.97016403113912,75.69067998584474,10.127181210029729,2023-04-21
12.588660147217041,-70.24147990023411,96.81031929265384,28.222123677517075,2023-01-17
12.37026592216305,-9.942343828103219,57.29628188187623,33.063617292833584,2023-11-13
12.766551343836738,-39.620706157298756,33.897586891123154,11.095876168383473,2023-07-09
11.73725834843162,-58.139723407566834,69.99664794417345,29.823248644873217,2023-04-01
12.743639261512488,29.536431402193386,69.42657770839376,16.712973965978062,2023-05-11
