Time,GPS,Speed(km/hr),Acceleration
0,"(-1.286389, 36.817223)",5.0,0.0
1,"(0.326729, 36.367464)",0.0,-5.0
2,"(1.994921, 36.567686)",0.0,-0.26849932121988995
3,"(2.760388, 35.934676)",0.0,-4.082528415789525
4,"(2.156461, 36.766943)",0.0,-0.5873964525820004
5,"(1.033645, 32.365752)",0.0,-0.10101837514797324
6,"(-0.724054, 31.675054)",0.0,-1.0223178380224762
7,"(-2.587328, 37.001578)",4.529947492731012,4.529947492731012
8,"(2.709737, 33.469378)",4.515888456507189,-0.014059036223823623
9,"(-0.570472, 38.057357)",2.7000117842816804,-1.8158766722255086
10,"(-3.556597, 32.336581)",4.257473576036161,1.5574617917544804
11,"(-0.037941, 39.941139)",8.283445567585666,4.025971991549505
12,"(-5.581834, 35.74248)",6.983133827129469,-1.3003117404561968
13,"(1.658691, 36.659253)",5.711067979371418,-1.272065847758052
14,"(-7.154954, 37.405041)",8.994708812685916,3.2836408333144984
15,"(-0.723042, 35.687393)",8.286087273705352,-0.7086215389805637
16,"(-5.663279, 39.353331)",8.671290801706007,0.38520352800065616
17,"(-1.616692, 33.308431)",5.850869387173615,-2.820421414532392
18,"(-1.315236, 36.08225)",4.2518395406554985,-1.599029846518117
19,"(-2.91229, 37.876585)",3.684472516414065,-0.5673670242414337
20,"(-0.897135, 36.907867)",4.738268937469657,1.0537964210555928
21,"(-10.304122, 39.711463)",7.8593461157745095,3.1210771783048523
22,"(-2.41922, 36.88514)",5.773078234297212,-2.0862678814772977
23,"(3.986286, 37.815567)",6.214347391842503,0.44126915754529134
24,"(-4.55967, 40.804839)",7.692902673667943,1.4785552818254397
25,"(-0.184001, 35.531481)",9.43628910780977,1.7433864341418275
26,"(-7.980719, 44.040847)",9.61121770662341,0.17492859881364015
27,"(-1.644085, 39.106485)",10.45782392596512,0.8466062193417097
28,"(2.322443, 30.371315)",9.641649657250367,-0.8161742687147517
29,"(-6.158084, 44.779325)",16.83039968614714,7.188750028896773
30,"(1.691139, 28.963211)",16.258445837495646,-0.5719538486514912
31,"(-2.198471, 47.212657)",17.0353239267107,0.7768780892150546
32,"(-1.215202, 27.094327)",20.658376406581084,3.6230524798703865
33,"(-0.615667, 47.003049)",21.095397028473222,0.43702062189213653
34,"(-2.172065, 26.662675)",22.28203721794817,1.1866401894749465
35,"(-0.144826, 54.69425)",23.77161125523215,1.4895740372839783
36,"(1.777675, 37.024373)",19.46945725569662,-4.302153999535527
37,"(-14.61762, 34.139878)",20.340988718444777,0.8715314627481565
38,"(5.406799, 39.902548)",19.8094488332757,-0.5315398851690776
39,"(-14.037104, 29.930111)",21.58215275857864,1.772703925302943
